baseline_batch,baseline_generations,baseline_lr,baseline_population,baseline_steps,complexity_lambda_equal,critical_equivalence_ok,effective_batch_size_equal,generations_equal,lr_scaled_with_batch,optimized_batch,optimized_generations,optimized_lr,optimized_population,optimized_steps,pilot,population_equal,seed,steps_equal,stochastic_layers_equivalent,subset_equal,token_budget_equal
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1337,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1337,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1338,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1338,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1339,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1339,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1340,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1340,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1341,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1341,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1342,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1342,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1343,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1343,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1344,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1344,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1345,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1345,True,True,,False
,30,,60,,True,True,,True,,,30,,60,,cpu,True,1346,,True,True,
12,,3e-05,,80,,False,False,,False,8,,3e-05,,80,gpu,,1346,True,True,,False
