seed,delta,delta_sign,abs_delta,baseline_ci95_low,loo_ci95_low,ci95_low_shift_if_removed,baseline_mean,loo_mean,mean_shift_if_removed
1342,-1.9709498087565152,negative,1.9709498087565152,-0.17206888915672247,0.3351038041585719,0.5071726933152944,0.7992378234863253,1.1070364492910854,0.30779862580476003
1339,-1.0537439982096544,negative,1.0537439982096544,-0.17206888915672247,0.03360179317833911,0.20567068233506158,0.7992378234863253,1.0051246925636563,0.205886869077331
1345,0.49809519449868844,positive,0.49809519449868844,-0.17206888915672247,-0.27101336826672195,-0.09894447910999948,0.7992378234863253,0.8326981155960627,0.03346029210973733
1344,0.9316533406575616,positive,0.9316533406575616,-0.17206888915672247,-0.3219026609942982,-0.14983377183757574,0.7992378234863253,0.7845249882450768,-0.014712835241248556
1346,0.9991226196289062,positive,0.9991226196289062,-0.17206888915672247,-0.32856750163857984,-0.15649861248185737,0.7992378234863253,0.7770284016927052,-0.022209421793620177
1341,1.0819549560546875,positive,1.0819549560546875,-0.17206888915672247,-0.3362865343348663,-0.16421764517814386,0.7992378234863253,0.7678248087565073,-0.031413014729818056
1337,1.206024169921875,positive,1.206024169921875,-0.17206888915672247,-0.3468883342386684,-0.1748194450819459,0.7992378234863253,0.754039340549042,-0.045198482937283346
1343,2.013486226399735,positive,2.013486226399735,-0.17206888915672247,-0.3866917236191185,-0.21462283446239605,0.7992378234863253,0.6643213342737242,-0.13491648921260113
1340,2.0890706380208286,positive,2.0890706380208286,-0.17206888915672247,-0.3876748255754958,-0.21560593641877335,0.7992378234863253,0.6559230663158249,-0.14331475717050046
1338,2.19766489664714,positive,2.19766489664714,-0.17206888915672247,-0.3881992356405235,-0.21613034648380103,0.7992378234863253,0.643857037579568,-0.1553807859067573
